(arbitre, arbitro)
(attaquant, delantero)
(ballon, balon)
(but, gol)
(capitaine, capitan)
(carton, tarjeta)
(championnat, campeonato)
(corner, corner)
(coupe, copa)
(defaite, derrota)
(defenseur, defensa)
(dribble, regate)
(entraineur, entrenador)
(equipe, equipo)
(faute, falta)
(finale, final)
(frappe, remate)
(gardien, portero)
(jaune, amarilla)
(joueur, jugador)
(ligue, liga)
(match, partido)
(milieu, mediocampista)
(passe, pase)
(penalty, penalti)
(prolongation, prorroga)
(remplacant, suplente)
(rouge, roja)
(score, marcador)
(sifflet, silbato)
(stade, estadio)
(supporter, aficionado)
(terrain, cancha)
(victoire, victoria)
